# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 24 15:07:14 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_rvamp,sy_dist,sy_gaiamag,rowupdate,pl_pubdate,releasedate
11 Com b,1,2,1,0,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,323.21000000,1.178000,,,288.630,93.1846000,4.4403800,2023-09-19,2023-08,2023-09-19
11 UMi b,1,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,516.21997000,1.530000,,,189.700,125.3210000,4.5621600,2018-09-04,2017-03,2018-09-06
14 And b,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,186.76000000,0.775000,,,86.080,75.4392000,4.9178100,2023-09-19,2023-08,2023-09-19
14 Her b,1,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,1765.03890000,2.774000,,2559.47216,89.582,17.9323000,6.3830000,2023-06-12,2022-09,2023-06-12
16 Cyg B b,1,3,1,0,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,798.50000000,1.660000,,,50.500,21.1397000,6.0642800,2018-09-04,2017-03,2018-09-06
17 Sco b,1,1,1,0,Radial Velocity,2020,Lick Observatory,Published Confirmed,0,578.38000000,1.450000,,,92.400,124.9530000,4.7542900,2021-10-25,2020-12,2021-10-25
18 Del b,1,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,982.85000000,2.476000,,,114.960,76.2220000,5.2747600,2023-09-19,2023-08,2023-09-19
1RXS J160929.1-210524 b,1,1,1,0,Imaging,2008,Gemini Observatory,Published Confirmed,0,,330.000000,,3000.00000,,139.1350000,12.0572000,2015-04-01,2015-03,2015-04-01
24 Boo b,1,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,0,30.33000000,0.194000,,,55.670,95.9863000,5.3339000,2023-09-19,2023-08,2023-09-19
24 Sex b,1,1,2,0,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,452.80000000,1.333000,,,40.000,72.0691000,6.2037400,2014-05-14,2011-01,2014-05-14
24 Sex c,1,1,2,0,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,883.00000000,2.080000,,,14.500,72.0691000,6.2037400,2014-05-14,2011-01,2014-05-14
2M0437 b,1,1,1,0,Imaging,2021,Subaru Telescope,Published Confirmed,0,,118.000000,,1271.31363,,128.4840000,14.3374000,2021-12-13,2021-10,2021-12-13
2MASS J01033563-5515561 AB b,1,2,1,0,Imaging,2013,Paranal Observatory,Published Confirmed,0,,84.000000,,4131.79000,,,,2020-09-08,2013-05,2020-09-03
2MASS J01225093-2439505 b,1,1,1,0,Imaging,2013,W. M. Keck Observatory,Published Confirmed,0,,52.000000,,7786.50000,,33.8281000,12.9025000,2014-05-14,2013-09,2014-05-14
2MASS J02192210-3925225 b,1,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,,156.000000,16.141,4417.83700,,,15.0123000,2015-05-14,2015-06,2015-05-14
2MASS J0249-0557 c,1,2,1,0,Imaging,2018,Mauna Kea Observatory,Published Confirmed,0,,1950.000000,,3686.80952,,66.0613000,15.6894000,2024-05-13,2018-08,2024-05-13
2MASS J03590986+2009361 b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,572.000000,,5720.91133,,117.4350000,16.9967000,2024-05-08,2024-01,2024-05-08
2MASS J04414489+2301513 b,1,1,1,0,Imaging,2010,Hubble Space Telescope,Published Confirmed,0,,15.000000,,2383.60000,,,18.9668000,2014-05-14,2010-05,2014-05-14
2MASS J11011926-7732383 b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,266.000000,,8899.19540,,,18.3299000,2024-05-08,2024-01,2024-05-08
2MASS J11550485-7919108 b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,587.000000,,6356.56814,,100.8620000,14.8180000,2024-05-07,2024-01,2024-05-07
2MASS J12073346-3932539 b,1,1,1,0,Imaging,2004,Paranal Observatory,Published Confirmed,0,,55.000000,,1589.15000,,64.3080000,17.4076000,2016-02-24,2004-10,2016-02-25
2MASS J19383260+4603591 b,1,2,3,0,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,406.00000000,,,,,396.3320000,12.1376000,2022-04-19,2022-04,2022-04-19
2MASS J21252752-8138278 b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,,7493.000000,,3813.94088,,34.1154000,10.8133000,2024-05-07,2024-01,2024-05-07
2MASS J22362452+4751425 b,1,1,1,0,Imaging,2016,W. M. Keck Observatory,Published Confirmed,0,,230.000000,,3972.87500,,69.5737000,11.9484000,2016-11-09,2017-01,2016-11-10
30 Ari B b,1,4,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,335.10001000,0.990000,,,272.000,44.6570000,6.9608500,2018-09-04,2017-03,2018-09-06
4 UMa b,1,1,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,270.27000000,0.877000,,,242.240,73.4603000,4.2377300,2023-09-19,2023-08,2023-09-19
42 Dra b,1,2,1,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,479.10000000,1.190000,,,110.500,90.6545000,4.4321600,2014-05-14,2009-06,2014-05-14
47 UMa b,1,1,3,0,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,1078.00000000,2.100000,,,48.400,13.7967000,4.8783700,2014-05-14,2010-04,2014-05-14
47 UMa c,1,1,3,0,Radial Velocity,2001,Lick Observatory,Published Confirmed,0,2391.00000000,3.600000,,,8.000,13.7967000,4.8783700,2014-05-14,2010-04,2014-05-14
47 UMa d,1,1,3,0,Radial Velocity,2009,Lick Observatory,Published Confirmed,0,14002.00000000,11.600000,,,13.800,13.7967000,4.8783700,2014-05-14,2010-04,2014-05-14
51 Eri b,1,3,1,0,Imaging,2015,Gemini Observatory,Published Confirmed,0,,13.200000,,635.66000,,29.7575000,5.1580600,2019-07-08,2015-00,2015-08-14
51 Peg b,1,1,1,0,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,4.23078500,0.052700,,,55.940,15.4614000,5.2864700,2014-05-14,2006-07,2014-05-14
55 Cnc b,1,2,5,0,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,14.65160000,0.113400,,,71.370,12.5855000,5.7297300,2021-02-05,2018-10,2021-02-11
55 Cnc c,1,2,5,0,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,44.39890000,0.237300,,,9.890,12.5855000,5.7297300,2021-02-05,2018-10,2021-02-11
55 Cnc d,1,2,5,0,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,5574.20000000,5.957000,,,38.600,12.5855000,5.7297300,2021-02-05,2018-10,2021-02-11
55 Cnc e,1,2,5,0,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,0.73654740,0.015440,1.875,7.99000,6.020,12.5855000,5.7297300,2021-02-05,2018-10,2021-02-11
55 Cnc f,1,2,5,0,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,259.88000000,0.770800,,,5.140,12.5855000,5.7297300,2021-02-05,2018-10,2021-02-11
6 Lyn b,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,919.86000000,2.028000,,,32.760,54.6599000,5.6068600,2023-09-19,2023-08,2023-09-19
61 Vir b,1,1,3,0,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,4.21500000,0.050201,,,2.120,8.5033200,4.5405200,2014-05-14,2010-01,2014-05-14
61 Vir c,1,1,3,0,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,38.02100000,0.217500,,,3.620,8.5033200,4.5405200,2014-05-14,2010-01,2014-05-14
61 Vir d,1,1,3,0,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,123.01000000,0.476000,,,3.250,8.5033200,4.5405200,2014-05-14,2010-01,2014-05-14
7 CMa b,1,1,2,0,Radial Velocity,2011,Anglo-Australian Telescope,Published Confirmed,0,735.10000000,1.758000,,,34.300,19.8101000,3.6785300,2019-10-18,2019-11,2019-10-24
7 CMa c,1,1,2,0,Radial Velocity,2019,Multiple Observatories,Published Confirmed,0,996.00000000,2.153000,,,14.900,19.8101000,3.6785300,2019-10-18,2019-11,2019-10-24
70 Vir b,1,1,1,0,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,116.68800000,0.481000,,,316.200,17.9011000,4.7617800,2018-12-03,2019-04,2018-12-06
75 Cet b,1,2,2,0,Radial Velocity,2012,Okayama Astrophysical Observatory,Published Confirmed,0,696.62000000,1.912000,,,36.920,82.9613000,5.0934300,2023-09-19,2023-08,2023-09-19
75 Cet c,1,2,2,0,Radial Velocity,2023,Okayama Astrophysical Observatory,Published Confirmed,0,2051.62000000,3.929000,,,9.440,82.9613000,5.0934300,2023-09-19,2023-08,2023-09-19
8 UMi b,1,1,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,93.40000000,0.490000,,,46.100,162.5520000,6.5589600,2018-09-04,2017-03,2018-09-06
81 Cet b,1,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,1005.57000000,2.104000,,,58.510,101.2600000,5.3758800,2023-09-19,2023-08,2023-09-19
91 Aqr b,1,3,1,0,Radial Velocity,2013,Lick Observatory,Published Confirmed,0,181.40000000,0.700000,,,91.500,44.0304000,3.9531100,2014-05-14,2013-07,2014-05-14
AB Aur b,1,1,1,0,Imaging,2022,Subaru Telescope,Published Confirmed,0,,93.900000,,2860.45566,,162.1270000,7.0785400,2022-04-12,2022-04,2022-04-12
AB Pic b,1,1,1,0,Imaging,2005,Paranal Observatory,Published Confirmed,0,,260.000000,,4290.50000,,50.0475000,8.8378000,2014-05-14,2005-08,2014-05-14
AF Lep b,1,1,1,0,Imaging,2023,Paranal Observatory,Published Confirmed,0,8030.00000000,8.400000,,1017.05090,,26.8564000,6.1864400,2023-06-12,2023-02,2023-06-12
AU Mic b,1,1,3,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,8.46308000,0.064900,3.957,,,9.7221000,7.8403800,2024-09-28,2023-12,2024-09-28
AU Mic c,1,1,3,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,18.85969000,0.110800,2.522,,,9.7221000,7.8403800,2024-09-28,2023-12,2024-09-28
AU Mic d,1,1,3,0,Transit Timing Variations,2023,Multiple Observatories,Published Confirmed,0,12.73596000,,,1.05300,,9.7221000,7.8403800,2024-10-03,2023-12,2024-10-03
BD+03 2562 b,1,1,1,0,Radial Velocity,2017,Multiple Observatories,Published Confirmed,0,481.90000000,1.300000,,,155.700,1070.6300000,8.9977000,2017-06-13,2017-10,2017-06-15
BD+14 4559 b,1,1,1,0,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,268.94000000,0.780000,,,55.200,49.3520000,9.3510800,2018-09-04,2017-03,2018-09-06
BD+15 2375 b,1,1,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,Published Confirmed,0,153.22000000,0.576000,,,38.300,768.0450000,9.9918000,2016-02-03,2016-04,2016-02-04
BD+15 2940 b,1,1,1,0,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,137.48000000,0.539000,,,42.700,426.4200000,8.7178000,2014-05-14,2013-06,2014-05-14
BD+20 2457 b,1,1,2,0,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,379.63000000,1.450000,,,322.350,1539.7100000,9.2268400,2018-04-25,2009-12,2014-05-14
BD+20 2457 c,1,1,2,0,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,621.99000000,2.010000,,,160.030,1539.7100000,9.2268400,2014-05-14,2009-12,2014-05-14
BD+20 274 b,1,1,1,0,Radial Velocity,2012,McDonald Observatory,Published Confirmed,0,578.20000000,1.300000,,,121.400,1322.5100000,8.9161300,2015-09-16,2012-09,2015-09-18
BD+20 594 b,1,1,1,0,Transit,2016,K2,Published Confirmed,0,41.68550000,,2.578,22.24810,3.100,179.4610000,10.8644000,2018-04-25,2017-03,2018-04-26
BD+45 564 b,1,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,307.88000000,0.830000,,,47.680,53.6220000,9.4126600,2021-05-28,2021-07,2021-05-28
BD+48 738 b,1,1,1,0,Radial Velocity,2011,McDonald Observatory,Published Confirmed,0,392.60000000,1.000000,,,31.900,871.4930000,8.6556900,2015-08-12,2012-01,2015-08-13
BD+48 740 b,1,1,1,0,Radial Velocity,2018,Multiple Observatories,Published Confirmed,0,733.00000000,1.700000,,,54.000,666.5890000,8.2644900,2018-02-01,2018-05,2018-02-01
BD+49 828 b,1,1,1,0,Radial Velocity,2015,McDonald Observatory,Published Confirmed,0,2590.00000000,4.200000,,,18.800,442.0420000,9.0285100,2015-02-05,2015-04,2015-02-05
BD+55 362 b,1,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,265.59000000,0.780000,,,25.120,52.5697000,9.1530500,2021-05-28,2021-07,2021-05-28
BD+60 1417 b,1,1,1,0,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,Published Confirmed,0,,1662.000000,14.684,4767.42610,,44.9543000,9.1743900,2022-01-10,2021-12,2022-01-10
BD+63 1405 b,1,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,1198.48000000,2.060000,,,186.010,38.0473000,8.7050000,2021-05-28,2021-07,2021-05-28
BD-06 1339 b,1,1,2,0,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,3.87280000,0.042800,,,4.400,20.2695000,9.1067700,2014-05-14,2013-03,2014-05-14
BD-06 1339 c,1,1,2,0,Radial Velocity,2013,La Silla Observatory,Published Confirmed,0,125.94000000,0.435000,,,9.100,20.2695000,9.1067700,2014-05-14,2013-03,2014-05-14
BD-08 2823 b,1,1,2,0,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,5.60000000,0.060000,,,6.500,41.3342000,9.5033100,2018-09-04,2017-03,2018-09-06
BD-08 2823 c,1,1,2,0,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,237.60000000,0.680000,,,13.400,41.3342000,9.5033100,2014-05-14,2010-03,2014-05-14
BD-10 3166 b,1,1,1,0,Radial Velocity,2000,W. M. Keck Observatory,Published Confirmed,0,3.48777000,0.040000,,,60.900,84.4069000,9.8398100,2018-09-04,2017-03,2018-09-06
BD-11 4672 b,1,1,2,0,Radial Velocity,2014,La Silla Observatory,Published Confirmed,0,1634.00000000,2.360000,,,14.880,27.1665000,9.4851100,2020-07-17,2020-09,2020-07-23
BD-11 4672 c,1,1,2,0,Radial Velocity,2020,Roque de los Muchachos Observatory,Published Confirmed,0,74.20000000,0.300000,,,3.420,27.1665000,9.4851100,2020-07-17,2020-09,2020-07-23
BD-13 2130 b,1,1,1,0,Radial Velocity,2007,La Silla Observatory,Published Confirmed,0,714.29999000,1.660000,,,137.600,925.2140000,9.6997100,2018-09-04,2017-03,2018-09-06
BD-14 3065 b,1,3,1,0,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.28897310,0.065600,21.590,3932.00000,1210.000,589.4230000,10.9100000,2024-06-25,2024-03,2024-06-25
BD-17 63 b,1,1,1,0,Radial Velocity,2008,La Silla Observatory,Published Confirmed,0,655.57000000,,,1639.99458,,34.4603000,9.2011200,2024-09-13,2022-11,2024-09-13
BD-210397 b,1,1,2,0,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,1891.00000000,2.630000,,,14.000,23.7324000,9.2596200,2023-06-27,2023-06,2023-06-27
BD-210397 c,1,1,2,0,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,6240.00000000,5.900000,,1525.57635,,23.7324000,9.2596200,2023-09-05,2023-08,2023-09-05
Barnard b,1,1,4,0,Radial Velocity,2024,Paranal Observatory,Published Confirmed,0,3.15420000,0.022900,,,0.440,1.8265500,8.1951100,2025-03-10,2025-03,2025-03-10
Barnard c,1,1,4,0,Radial Velocity,2025,Gemini Observatory,Published Confirmed,0,4.12440000,0.027400,,,0.452,1.8265500,8.1951100,2025-03-10,2025-03,2025-03-10
Barnard d,1,1,4,0,Radial Velocity,2025,Gemini Observatory,Published Confirmed,0,2.34020000,0.018800,,,0.428,1.8265500,8.1951100,2025-03-10,2025-03,2025-03-10
Barnard e,1,1,4,0,Radial Velocity,2025,Gemini Observatory,Published Confirmed,0,6.73920000,0.038100,,,0.221,1.8265500,8.1951100,2025-03-10,2025-03,2025-03-10
CD Cet b,1,1,1,0,Radial Velocity,2020,Calar Alto Observatory,Published Confirmed,0,2.29070000,0.018500,,,6.510,8.6071500,12.1232000,2021-11-02,2020-08,2021-11-02
CFBDSIR J145829+101343 b,1,1,1,0,Imaging,2011,W. M. Keck Observatory,Published Confirmed,0,10037.50000000,2.600000,,3337.10000,,,,2014-05-14,2011-10,2014-05-14
CFHTWIR-Oph 98 b,1,1,1,0,Imaging,2021,Hubble Space Telescope,Published Confirmed,0,8040000.00000000,200.000000,20.849,2479.06157,,,,2021-05-17,2020-12,2021-05-17
CHXR 73 b,1,1,1,0,Imaging,2006,Hubble Space Telescope,Published Confirmed,0,,210.000000,,3994.48600,,190.3740000,17.2934000,2014-05-14,2006-10,2014-05-14
CI Tau c,1,1,1,0,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,25.20000000,0.170000,,,300.000,157.9980000,12.1454000,2024-04-05,2024-03,2024-04-05
COCONUTS-2 b,1,1,1,0,Imaging,2021,NASA Infrared Telescope Facility (IRTF),Published Confirmed,0,,,12.442,2542.62726,,10.8864000,10.1460000,2024-11-04,2024-10,2024-11-04
CT Cha b,1,1,1,0,Imaging,2007,Paranal Observatory,Published Confirmed,0,,440.000000,24.660,5403.00000,,190.7200000,11.7733000,2014-05-14,2008-11,2014-05-14
CoRoT-1 b,1,1,1,0,Transit,2008,CoRoT,Published Confirmed,0,1.50895570,,16.700,327.35000,188.000,787.9090000,13.4570000,2014-05-14,2008-05,2014-05-14
